PassengerId,Pclass,Sex,Age,SibSp,Parch,Survived
1099,2,male,24.0,0,0,0
1100,1,female,33.0,0,0,1
1101,3,male,25.0,0,0,0
1102,3,male,32.0,0,0,0
1103,3,male,,0,0,0
1104,2,male,17.0,0,0,0
1105,2,female,60.0,1,0,1
1106,3,female,38.0,4,2,0
1107,1,male,42.0,0,0,0
1108,3,female,,0,0,1
1109,1,male,57.0,1,1,0
1110,1,female,50.0,1,1,1
1111,3,male,,0,0,0
1112,2,female,30.0,1,0,1
1113,3,male,21.0,0,0,0
1114,2,female,22.0,0,0,1
1115,3,male,21.0,0,0,0
1116,1,female,53.0,0,0,1
1117,3,female,,0,2,1
1118,3,male,23.0,0,0,0
1119,3,female,,0,0,1
1120,3,male,40.5,0,0,0
1121,2,male,36.0,0,0,0
1122,2,male,14.0,0,0,0
1123,1,female,21.0,0,0,1
1124,3,male,21.0,1,0,0
1125,3,male,,0,0,0
1126,1,male,39.0,1,0,0
1127,3,male,20.0,0,0,0
1128,1,male,64.0,1,0,0
1129,3,male,20.0,0,0,0
1130,2,female,18.0,1,1,1
1131,1,female,48.0,1,0,1
1132,1,female,55.0,0,0,1
1133,2,female,45.0,0,2,1
1134,1,male,45.0,1,1,0
1135,3,male,,0,0,0
1136,3,male,,1,2,0
1137,1,male,41.0,1,0,0
1138,2,female,22.0,0,0,1
1139,2,male,42.0,1,1,0
1140,2,female,29.0,1,0,1
1141,3,female,,1,0,1
1142,2,female,0.92,1,2,1
1143,3,male,20.0,0,0,0
1144,1,male,27.0,1,0,0
1145,3,male,24.0,0,0,0
1146,3,male,32.5,0,0,0
1147,3,male,,0,0,0
1148,3,male,,0,0,0
1149,3,male,28.0,0,0,0
1150,2,female,19.0,0,0,1
1151,3,male,21.0,0,0,0
1152,3,male,36.5,1,0,0
1153,3,male,21.0,0,0,0
1154,2,female,29.0,0,2,1
1155,3,female,1.0,1,1,1
1156,2,male,30.0,0,0,0
1157,3,male,,0,0,0
1158,1,male,,0,0,0
1159,3,male,,0,0,0
1160,3,female,,0,0,1
1161,3,male,17.0,0,0,0
1162,1,male,46.0,0,0,0
1163,3,male,,0,0,0
1164,1,female,26.0,1,0,1
1165,3,female,,1,0,1
1166,3,male,,0,0,0
1167,2,female,20.0,1,0,1
1168,2,male,28.0,0,0,0
1169,2,male,40.0,1,0,0
1170,2,male,30.0,1,0,0
1171,2,male,22.0,0,0,0
1172,3,female,23.0,0,0,1
1173,3,male,0.75,1,1,1
1174,3,female,,0,0,1
1175,3,female,9.0,1,1,1
1176,3,female,2.0,1,1,1
1177,3,male,36.0,0,0,0
1178,3,male,,0,0,0
1179,1,male,24.0,1,0,0
1180,3,male,,0,0,0
1181,3,male,,0,0,0
1182,1,male,,0,0,0
1183,3,female,30.0,0,0,1
1184,3,male,,0,0,0
1185,1,male,53.0,1,1,0
1186,3,male,36.0,0,0,0
1187,3,male,26.0,0,0,0
1188,2,female,1.0,1,2,1
1189,3,male,,2,0,0
1190,1,male,30.0,0,0,0
1191,3,male,29.0,0,0,0
1192,3,male,32.0,0,0,0
1193,2,male,,0,0,0
1194,2,male,43.0,0,1,0
1195,3,male,24.0,0,0,0
1196,3,female,,0,0,1
1197,1,female,64.0,1,1,1
1198,1,male,30.0,1,2,0
1199,3,male,0.83,0,1,1
1200,1,male,55.0,1,1,0
1201,3,female,45.0,1,0,0
1202,3,male,18.0,0,0,0
1203,3,male,22.0,0,0,0
1204,3,male,,0,0,0
1205,3,female,37.0,0,0,1
1206,1,female,55.0,0,0,1
1207,3,female,17.0,0,0,1
1208,1,male,57.0,1,0,0
1209,2,male,19.0,0,0,0
1210,3,male,27.0,0,0,0
1211,2,male,22.0,2,0,0
1212,3,male,26.0,0,0,0
1213,3,male,25.0,0,0,0
1214,2,male,26.0,0,0,0
1215,1,male,33.0,0,0,0
1216,1,female,39.0,0,0,1
1217,3,male,23.0,0,0,0
1218,2,female,12.0,2,1,1
1219,1,male,46.0,0,0,0
1220,2,male,29.0,1,0,0
1221,2,male,21.0,0,0,0
1222,2,female,48.0,0,2,1
1223,1,male,39.0,0,0,0
1224,3,male,,0,0,0
1225,3,female,19.0,1,1,1
1226,3,male,27.0,0,0,0
1227,1,male,30.0,0,0,0
1228,2,male,32.0,0,0,0
1229,3,male,39.0,0,2,0
1230,2,male,25.0,0,0,0
1231,3,male,,0,0,0
1232,2,male,18.0,0,0,0
1233,3,male,32.0,0,0,0
1234,3,male,,1,9,0
1235,1,female,58.0,0,1,1
1236,3,male,,1,1,0
1237,3,female,16.0,0,0,1
1238,2,male,26.0,0,0,0
1239,3,female,38.0,0,0,1
1240,2,male,24.0,0,0,0
1241,2,female,31.0,0,0,1
1242,1,female,45.0,0,1,1
1243,2,male,25.0,0,0,0
1244,2,male,18.0,0,0,0
1245,2,male,49.0,1,2,0
1246,3,female,0.17,1,2,1
1247,1,male,50.0,0,0,0
1248,1,female,59.0,2,0,1
1249,3,male,,0,0,0
1250,3,male,,0,0,0
1251,3,female,30.0,1,0,1
1252,3,male,14.5,8,2,0
1253,2,female,24.0,1,1,1
1254,2,female,31.0,0,0,1
1255,3,male,27.0,0,0,0
1256,1,female,25.0,1,0,1
1257,3,female,,1,9,0
1258,3,male,,1,0,0
1259,3,female,22.0,0,0,1
1260,1,female,45.0,0,1,1
1261,2,male,29.0,0,0,0
1262,2,male,21.0,1,0,0
1263,1,female,31.0,0,0,1
1264,1,male,49.0,0,0,0
1265,2,male,44.0,0,0,0
1266,1,female,54.0,1,1,1
1267,1,female,45.0,0,0,1
1268,3,female,22.0,2,0,1
1269,2,male,21.0,0,0,0
1270,1,male,55.0,0,0,0
1271,3,male,5.0,4,2,0
1272,3,male,,0,0,0
1273,3,male,26.0,0,0,0
1274,3,female,,0,0,1
1275,3,female,19.0,1,0,1
1276,2,male,,0,0,0
1277,2,female,24.0,1,2,1
1278,3,male,24.0,0,0,0
1279,2,male,57.0,0,0,0
1280,3,male,21.0,0,0,0
1281,3,male,6.0,3,1,0
1282,1,male,23.0,0,0,0
1283,1,female,51.0,0,1,1
1284,3,male,13.0,0,2,0
1285,2,male,47.0,0,0,0
1286,3,male,29.0,3,1,0
1287,1,female,18.0,1,0,1
1288,3,male,24.0,0,0,0
1289,1,female,48.0,1,1,1
1290,3,male,22.0,0,0,0
1291,3,male,31.0,0,0,0
1292,1,female,30.0,0,0,1
1293,2,male,38.0,1,0,0
1294,1,female,22.0,0,1,1
1295,1,male,17.0,0,0,0
1296,1,male,43.0,1,0,0
1297,2,male,20.0,0,0,0
1298,2,male,23.0,1,0,0
1299,1,male,50.0,1,1,0
1300,3,female,,0,0,1
1301,3,female,3.0,1,1,1
1302,3,female,,0,0,1
1303,1,female,37.0,1,0,1
1304,3,female,28.0,0,0,1
1305,3,male,,0,0,0
1306,1,female,39.0,0,0,1
1307,3,male,38.5,0,0,0
1308,3,male,,0,0,0
1309,3,male,,1,1,0
